优先级,类别,推荐型号或能力,目标可用数,已有数,状态,缺口负责人,最晚到位,验收记录
P0,主控,MSPM0G3507,4,,未盘点,,2026-07-18,
P0,调试器,XDS110或DAPLink,2,,未盘点,,2026-07-18,
P0,串口,USB-UART,3,,未盘点,,2026-07-18,
P0,通用运放,TLV9062,10,,未盘点,,2026-07-19,
P0,精密运放,OPA2320,6,,未盘点,,2026-07-19,
P0,精密运放,OPA2197,6,,未盘点,,2026-07-19,
P0,比较器,TLV3502,4,,未盘点,,2026-07-19,
P0,仪表放大器,INA821,4,,未盘点,,2026-07-19,
P0,电流检测,INA240,4,,未盘点,,2026-07-19,
P0,基准,2.5V或4.096V精密基准,4,,未盘点,,2026-07-19,
P0,ADC,16位SAR模块,2,,未盘点,,2026-07-20,
P0,DAC,双通道精密DAC模块,2,,未盘点,,2026-07-20,
P0,DDS,AD9833或等价已验证信号源,2,,未盘点,,2026-07-20,
P0,功率,低压半桥驱动与MOSFET套件,2,,未盘点,,2026-07-21,
P0,搭建,洞洞板与封装转接板,8,,未盘点,,2026-07-18,
